id	reg	vb	hinc	hmem	hint	fixline	hcar	sex	agecat	marits	red	empst	hhead	pinc	sim	seg_ls	dog	cat	q40_12	q34#11	q34#12	q34#13	q34#14	q34#15	q34#16	q34#17	q34#18	q34#19	q34#20	q34#21	q34#22	q34#23	q34#24	q34#25	q34#26	q34#27	q34#28	q34#29
150	71	1	14	6	1	1	2	1	1	1	1	1	2	 	2	6	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
151	42	3	16	3	1	1	1	2	4	2	4	6	2	22	1	3	0	0	5	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
152	62	4	13	4	1	2	1	1	5	2	4	2	1	15	1	6	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
153	11	6	14	4	1	2	1	1	4	2	1	2	1	16	1	1	0	1	6	0	0	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0
154	53	4	22	2	1	1	1	2	5	4	1	9	1	22	1	6	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
155	81	4	13	4	1	2	1	2	2	1	4	1	2	 	1	2	0	0	6	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
156	42	2	13	4	1	1	2	2	3	1	4	2	1	15	1	1	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0
157	72	4	14	3	1	2	1	2	4	2	1	2	1	19	1	5	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
158	71	1	14	4	1	2	1	1	1	1	1	1	2	 	1	6	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
159	11	6	14	5	5	1	2	1	5	2	4	4	1	15	1	8	0	0	6	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0
160	71	1	14	3	1	1	2	1	3	1	4	2	2	17	1	6	0	0	6	0	0	0	0	1	1	0	0	0	1	0	1	0	0	1	1	0	0	0
161	51	5	19	1	1	2	1	2	6	4	2	2	1	19	1	3	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
162	62	4	14	2	1	1	1	1	6	2	4	4	1	15	1	2	0	0	6	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0
163	81	4	14	4	1	2	2	1	5	2	3	2	1	16	1	2	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
164	62	5	15	4	1	2	1	1	3	2	1	5	1	16	1	2	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
165	31	1	31	4	3	2	3	1	1	1	1	1	1	 	1	1	0	1	5	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
166	81	1	17	4	1	2	3	2	4	3	3	7	1	19	1	6	0	0	1	0	1	1	1	1	1	1	1	0	1	0	0	1	0	0	1	0	0	0
167	62	1	13	6	1	1	2	1	1	1	1	1	2	 	1	6	0	0	6	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
168	31	4	14	5	2	2	2	2	3	2	4	2	2	18	2	2	1	1	6	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
169	51	1	18	2	1	2	1	1	1	1	1	1	2	 	1	2	1	0	1	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
170	62	2	12	4	1	1	2	1	2	1	3	1	2	28	1	6	1	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
171	21	4	13	4	1	2	2	1	1	1	1	1	2	 	1	3	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
